"sample_id","candidate","effect_hat","effect_se","effect_low","effect_high","subgroup","rule","terminal_node"
"card_298","analysis_target",1.17781438922231,3.70481195086669,-6.0836170344764,8.43924581292102,"G6","exper< 5.5 & exper>=3.5",7
"card_2202","analysis_target",-12.7135323859529,183.862944664098,-373.084903927585,347.657839155679,"G6","exper< 5.5 & exper>=3.5",7
"card_626","analysis_target",3.72937175253173,4.69070818515936,-5.46441629038062,12.9231597954441,"G6","exper< 5.5 & exper>=3.5",7
"card_1614","analysis_target",1.42069426906842,1.70777261785876,-1.92654006193475,4.76792860007158,"G6","exper< 5.5 & exper>=3.5",7
"card_2011","analysis_target",-0.325153584022228,1.69320234993703,-3.64383018989881,2.99352302185435,"G6","exper< 5.5 & exper>=3.5",7
"card_1916","analysis_target",5.20197394544889,47.8179678458141,-88.5212430323467,98.9251909232445,"G6","exper< 5.5 & exper>=3.5",7
"card_138","analysis_target",0.34377741589115,2.39807956230504,-4.35645852622673,5.04401335800903,"G6","exper< 5.5 & exper>=3.5",7
"card_1637","analysis_target",0.558103791430977,2.14685761709127,-3.64973713806792,4.76594472092987,"G6","exper< 5.5 & exper>=3.5",7
"card_663","analysis_target",-0.771584578341531,2.1533649248455,-4.99217983103872,3.44901067435565,"G6","exper< 5.5 & exper>=3.5",7
"card_312","analysis_target",21.2844569874472,140.712742102107,-254.512517532682,297.081431507577,"G6","exper< 5.5 & exper>=3.5",7
"card_544","analysis_target",12.2016073638939,97.4996065288417,-178.897621432636,203.300836160424,"G6","exper< 5.5 & exper>=3.5",7
"card_1130","analysis_target",-15.2592435864156,73.4880505124778,-159.295822590872,128.777335418041,"G6","exper< 5.5 & exper>=3.5",7
"card_185","analysis_target",-0.857904583634856,7.92247727174069,-16.3859600362466,14.6701508689769,"G6","exper< 5.5 & exper>=3.5",7
"card_177","analysis_target",-0.855150293837981,1.5038346670905,-3.80266624133535,2.09236565365939,"G6","exper< 5.5 & exper>=3.5",7
"card_1978","analysis_target",0.781115242892332,14.426705671173,-27.4952278726068,29.0574583583914,"G6","exper< 5.5 & exper>=3.5",7
"card_1996","analysis_target",0.010310194820883,3.46893558180564,-6.78880354551817,6.80942393515994,"G6","exper< 5.5 & exper>=3.5",7
"card_1066","analysis_target",-0.692023336559285,2.25390592540166,-5.10967895034653,3.72563227722796,"G6","exper< 5.5 & exper>=3.5",7
"card_892","analysis_target",-1.62023388923627,5.73872407987854,-12.8681330857982,9.62766530732566,"G6","exper< 5.5 & exper>=3.5",7
"card_164","analysis_target",-49.8685708646744,15294.4406857388,-30026.9723149127,29927.2351731834,"G6","exper< 5.5 & exper>=3.5",7
"card_1891","analysis_target",0.0242505478592615,8.6168696930657,-16.8648140505495,16.913315146268,"G6","exper< 5.5 & exper>=3.5",7
"card_1434","analysis_target",23.1097380996932,696.743891416316,-1342.50828907629,1388.72776527567,"G6","exper< 5.5 & exper>=3.5",7
"card_1612","analysis_target",0.530207040256567,6.93938356036324,-13.0709847380554,14.1313988185685,"G6","exper< 5.5 & exper>=3.5",7
"card_324","analysis_target",7.96880981961335,36.6338193303867,-63.8334760679445,79.7710957071712,"G6","exper< 5.5 & exper>=3.5",7
